*Stress RAOs
Unit : MPa

,ACC_x, , , , ,,ACC_y, , , , ,,ACC_z, , , , ,,ACC_rx, , , , ,,ACC_ry, , , , ,,ACC_rz, , , , ,
Ele_ID,S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),
73901,-0.00047617,-0.0027974,1.887E-05,-0.00070037,-0.0025503,0.00017203,-1.1762E-05,-0.00017203,0.0013295,-5.0677E-05,-0.00017746,0.0013051,-0.00052004,-0.0014978,0.00011752,-0.00077634,-0.0014576,0.00023435,-0.1794,-1.99,15.52,-0.6286,-2.113,15.23,13.71,13.74,-3.95,21.15,15.22,-6.586,-0.2675,-6.112,65.42,-2.109,-6.661,64.05
72420,0.00012516,0.0013591,0.00011845,0.00039258,0.0019079,0.00015053,0.00022856,0.00036326,-0.00067866,-1.113E-05,0.000146,-0.00074247,0.00014537,0.00012412,-4.4027E-05,0.00013048,5.8021E-05,-4.8025E-05,-0.6144,-1.149,6.049,-0.6643,-1.136,5.688,-3.172,-9.624,-0.9775,-4.027,-12.15,-0.6516,2.991,4.032,-29.04,0.5833,4.103,-28.72
72421,-0.00013435,0.0010149,4.9016E-05,-0.00011435,0.00069483,3.417E-05,0.00024234,0.00066497,-0.00057293,9.0018E-05,0.00070152,-0.00057203,4.1278E-05,0.0001025,1.9696E-05,6.3408E-05,0.00019869,1.1814E-05,-0.046068,-0.9336,6.695,-0.2009,-1.019,6.242,-1.145,-9.086,-1.335,0.0039053,-7.042,-1.251,1.475,2.98,-33,0.8691,2.91,-31.94
72424,0.0002952,0.0010928,0.00074292,0.00044466,0.0011127,0.00077168,-0.00013952,0.00096772,-0.00095765,-4.3199E-05,0.0011199,-0.0010408,4.2283E-05,0.00025649,-5.9357E-05,7.9564E-05,0.00028861,-8.0564E-05,-1.219,-3.033,5.78,-1.794,-3.373,5.396,-1.959,-11.14,-3.849,-3.583,-12.3,-3.374,3.514,11.22,-28.52,7.186,14.89,-28.27
72425,-0.00014234,0.00065002,0.00067722,-1.1587E-05,0.00068109,0.00064914,0.00015415,0.001006,-0.00086292,0.00014176,0.0010155,-0.00086723,5.5976E-05,0.00021794,-3.0456E-05,4.3832E-05,0.00020194,-4.5043E-05,-0.089233,-2.268,6.272,-0.3484,-2.362,5.929,0.2108,-7.72,-4.171,-1.474,-8.379,-3.932,2.804,8.248,-31.48,3.186,8.978,-30.62
72450,0.00043968,0.0027669,0.00047497,-0.0001278,0.0031738,0.0005957,-0.00042422,-0.00023207,-0.0010258,0.00068207,-0.00010633,-0.0011574,-7.6688E-05,0.00020545,-0.0001188,0.00023103,0.00031406,-0.00016597,-0.3945,-1.422,9.074,-1.028,-1.657,9.08,-0.026381,-17.17,-0.5853,-5.288,-21.58,-0.081806,-2.623,-0.8994,-27.96,3.119,-0.3956,-28.36
72451,0.00053574,0.0025494,0.00028988,0.00018647,0.0021406,0.00047653,-0.00013207,-4.3227E-05,-0.00065101,0.00016797,5.68E-05,-0.00091089,4.6027E-05,0.00013894,-3.283E-05,0.00014926,0.00014337,-9.0091E-05,-0.5525,-1.219,10.42,-0.8988,-1.371,10.33,-2.968,-15.74,-1.566,-4.196,-13.92,-0.841,2.684,4.236,-28.65,-0.063294,4.017,-29.68
72454,-0.00060765,0.0023018,0.0011554,0.00091608,0.003018,0.0012182,0.00095006,0.00029995,-0.0012297,-0.00091343,-0.00068478,-0.0012931,0.00021774,0.00028715,-3.1371E-05,-0.00015123,9.0489E-05,-4.39E-05,-2.013,-5.159,8.548,-1.038,-5.106,8.422,-3.943,-17.35,-5.02,0.031569,-15.32,-4.798,3.735,4.901,-31.13,-3.384,-0.5339,-31.33
72455,0.00027143,0.0016312,0.0010034,0.00096145,0.001864,0.0010807,-0.00011447,0.00072267,-0.00086767,-0.00066296,0.00057044,-0.0010259,5.0499E-05,0.00027569,4.9608E-05,-1.2218E-05,0.00025908,1.9502E-06,-1.982,-4.037,9.635,-1.899,-4.18,9.323,-2.807,-14.39,-6.284,-2.521,-14.65,-5.619,0.3567,9.107,-30.4,4.125,11.59,-31.41
72702,0.00012361,0.001359,-0.00011871,0.00039053,0.0019081,-0.00015052,0.00014616,0.00017487,-0.00065542,0.00010003,4.9575E-08,-0.00061816,0.00014526,0.00012417,4.4013E-05,0.00013177,5.8569E-05,4.8102E-05,0.3361,0.7582,6.032,0.5704,1.007,5.603,-3.166,-9.625,0.977,-4.031,-12.15,0.6499,-3.006,-3.927,-29.08,-0.5859,-3.98,-28.78
72703,-0.0001338,0.0010147,-5.0275E-05,-0.00011347,0.00069436,-3.5144E-05,0.00018106,0.00046931,-0.00077821,8.9974E-05,0.00052628,-0.00079487,3.957E-05,0.00010216,-1.9432E-05,6.4258E-05,0.00019923,-1.1612E-05,-0.2461,0.1521,6.835,0.067647,0.1678,6.39,-1.137,-9.083,1.333,-0.0073266,-7.045,1.249,-1.499,-2.951,-32.99,-0.8793,-2.871,-31.92
72706,0.00029439,0.001092,-0.00074369,0.00044409,0.0011117,-0.0007726,-3.9032E-05,0.00041387,-0.00039524,-9.208E-05,0.00045131,-0.00034575,4.2897E-05,0.00025657,5.9543E-05,7.9711E-05,0.00028856,8.0451E-05,1.32,2.086,5.39,1.876,2.297,4.913,-1.966,-11.14,3.847,-3.589,-12.3,3.374,-3.505,-11.27,-28.52,-7.194,-14.95,-28.27
72707,-0.00014318,0.00064977,-0.00067774,-1.2595E-05,0.00068078,-0.00064961,7.2033E-05,0.00048119,-0.00048945,8.3341E-05,0.00048967,-0.00049686,5.6689E-05,0.00021821,3.0801E-05,4.356E-05,0.00020193,4.5366E-05,-0.082201,1.246,6.022,0.1883,1.332,5.679,0.2101,-7.723,4.167,-1.468,-8.38,3.929,-2.776,-8.233,-31.5,-3.185,-8.972,-30.64
72732,0.00044234,0.002768,-0.00047445,-0.00013491,0.003172,-0.0005951,-0.00025536,-0.00019662,-0.00024311,0.00062834,-6.7196E-05,-9.806E-05,-7.4925E-05,0.0002061,0.00011838,0.00022668,0.000313,0.00016576,0.8572,1.727,8.534,0.1185,1.785,8.35,-0.045265,-17.17,0.5897,-5.223,-21.57,0.083535,2.648,0.8275,-27.96,-3.137,0.2972,-28.34
72733,0.00053806,0.0025497,-0.00029,0.00018528,0.0021398,-0.00047648,-0.00017288,-0.00023188,-0.00041655,0.00031755,-8.238E-05,-0.00020194,4.829E-05,0.00013947,3.2751E-05,0.00014969,0.00014321,9.0273E-05,0.7427,1.416,10.26,0.5392,1.393,9.849,-2.999,-15.75,1.567,-4.204,-13.92,0.8386,-2.703,-4.35,-28.69,0.0034233,-4.158,-29.73
72736,-0.00060825,0.0023006,-0.0011556,0.00092,0.003018,-0.0012192,0.00098001,0.00014635,-0.00018278,-0.00061753,-0.00054414,-0.00011098,0.00021725,0.00028668,3.0923E-05,-0.00014852,9.0916E-05,4.3059E-05,0.6785,4.859,7.826,2.088,5.96,7.609,-3.941,-17.34,5.026,-0.0099081,-15.33,4.811,-3.805,-4.932,-31.15,3.378,0.5245,-31.35
72737,0.00026797,0.0016303,-0.0010024,0.00095926,0.0018633,-0.0010804,0.00020894,0.000346,-0.0003057,-0.00052707,0.00013133,-0.00021788,4.9754E-05,0.00027542,-4.9491E-05,-1.1992E-05,0.00025915,-2.2355E-06,1.903,3.298,9.249,2.707,3.691,8.769,-2.79,-14.39,6.281,-2.515,-14.65,5.622,-0.4112,-9.096,-30.39,-4.114,-11.55,-31.4
