*Panel elements
PID=1, EIDs = 72420, 72421, 72451, 72450
PID=2, EIDs = 72424, 72455, 72425, 72454

Time (s),σx (PID=1),σy (PID=1),τxy (PID=1),UF (PID=1),Buckling Safety (PID=1),σx (PID=2),σy (PID=2),τxy (PID=2),UF (PID=2),Buckling Safety (PID=2)
0.24,8.410,-3.978,6.267,0.014466,Pass,10.951,-4.025,2.192,0.018467,Pass
0.25,8.760,1.202,6.633,0.016153,Pass,11.295,1.764,2.611,0.020600,Pass
0.26,9.151,7.949,6.877,0.025347,Pass,11.681,6.431,3.229,0.027102,Pass
0.28,9.568,12.386,6.952,0.033043,Pass,12.093,11.018,3.388,0.034730,Pass
0.29,9.995,16.947,6.851,0.041561,Pass,12.515,15.587,3.386,0.043094,Pass
0.30,10.417,21.487,6.576,0.050505,Pass,12.934,19.999,3.220,0.051714,Pass
0.31,10.820,25.830,6.159,0.059421,Pass,13.333,24.092,2.914,0.060108,Pass
0.32,11.187,29.819,5.652,0.067885,Pass,13.697,27.746,2.237,0.067842,Pass
0.34,11.510,33.348,5.081,0.075569,Pass,14.016,30.879,1.770,0.074715,Pass
0.35,11.779,36.310,4.511,0.082154,Pass,14.280,33.413,1.290,0.080406,Pass
0.36,11.989,38.642,3.986,0.087417,Pass,14.484,35.322,0.836,0.084775,Pass
0.38,12.135,40.283,3.553,0.091159,Pass,14.623,36.587,0.453,0.087711,Pass
0.39,12.216,41.231,3.256,0.093325,Pass,14.697,37.239,0.179,0.089240,Pass
0.40,12.232,41.479,3.135,0.093878,Pass,14.704,37.300,0.053,0.089383,Pass
0.41,12.192,41.104,3.198,0.092988,Pass,14.652,36.864,0.084,0.088351,Pass
0.43,12.100,40.163,3.456,0.090806,Pass,14.547,35.999,0.283,0.086307,Pass
0.44,11.965,38.744,3.901,0.087569,Pass,14.398,34.787,0.645,0.083467,Pass
0.45,11.797,36.958,4.513,0.083573,Pass,14.214,33.328,1.154,0.080084,Pass
0.46,11.608,34.940,5.254,0.079160,Pass,14.008,31.731,1.778,0.076437,Pass
0.47,11.411,32.817,6.086,0.074646,Pass,13.793,30.093,2.759,0.072817,Pass
0.49,11.217,30.732,6.954,0.070350,Pass,13.581,28.522,3.496,0.069384,Pass
0.50,11.039,28.811,7.799,0.066522,Pass,13.384,27.103,4.213,0.066357,Pass
0.51,10.891,27.213,8.568,0.063462,Pass,13.217,25.963,4.866,0.063982,Pass
0.52,10.781,26.035,9.222,0.061312,Pass,13.090,25.162,5.422,0.062358,Pass
0.54,10.718,25.378,9.710,0.060214,Pass,13.010,24.776,5.833,0.061608,Pass
0.55,10.713,25.337,10.015,0.060323,Pass,12.988,24.885,6.087,0.061873,Pass
0.56,10.766,25.954,10.118,0.061701,Pass,13.027,25.521,6.167,0.063213,Pass
0.57,10.884,27.268,10.030,0.064462,Pass,13.132,26.727,6.084,0.065744,Pass
0.59,11.068,29.292,9.753,0.068688,Pass,13.302,28.533,5.839,0.069564,Pass
0.60,11.315,32.011,9.322,0.074447,Pass,13.536,30.944,5.465,0.074758,Pass
0.61,11.623,35.374,8.783,0.081749,Pass,13.831,33.941,5.004,0.081367,Pass
0.63,11.985,39.325,8.172,0.090581,Pass,14.181,37.504,4.488,0.089427,Pass
0.64,12.395,43.774,7.546,0.100844,Pass,14.578,41.579,3.966,0.098897,Pass
0.65,12.843,48.621,6.949,0.112376,Pass,15.012,46.103,3.479,0.109689,Pass
0.66,13.317,53.727,6.429,0.124892,Pass,15.471,50.968,3.068,0.121592,Pass
0.68,13.807,58.995,6.029,0.138170,Pass,15.946,56.102,2.774,0.134454,Pass
0.69,14.300,64.264,5.770,0.151787,Pass,16.421,61.360,2.614,0.147912,Pass
0.70,14.781,69.393,5.669,0.165355,Pass,16.884,66.610,2.597,0.161613,Pass
0.71,15.238,74.252,5.727,0.178477,Pass,17.322,71.713,2.721,0.175168,Pass
0.73,15.658,78.689,5.932,0.190689,Pass,17.722,76.505,2.971,0.188099,Pass
0.74,16.030,82.677,6.271,0.201853,Pass,18.074,80.873,3.336,0.200058,Pass
0.75,16.346,86.048,6.697,0.211450,Pass,18.368,84.683,3.765,0.210614,Pass
0.76,16.595,88.703,7.175,0.219143,Pass,18.598,87.806,4.228,0.219364,Pass
0.77,16.775,90.623,7.656,0.224816,Pass,18.758,90.176,4.677,0.226066,Pass
0.79,16.883,91.789,8.085,0.228350,Pass,18.847,91.734,5.060,0.230499,Pass
0.80,16.918,92.158,8.434,0.229593,Pass,18.864,92.441,5.352,0.232520,Pass
0.81,16.886,91.799,8.654,0.228699,Pass,18.816,92.338,5.508,0.232211,Pass
0.82,16.791,90.767,8.721,0.225810,Pass,18.707,91.460,5.506,0.229666,Pass
0.84,16.642,89.192,8.632,0.221293,Pass,18.546,89.884,5.347,0.225119,Pass
0.85,16.451,87.193,8.384,0.215508,Pass,18.345,87.752,5.031,0.218993,Pass
0.86,16.231,84.892,7.987,0.208831,Pass,18.116,85.201,4.570,0.211714,Pass
0.88,15.996,82.442,7.469,0.201725,Pass,17.872,82.406,3.995,0.203803,Pass
0.89,15.760,79.990,6.857,0.194630,Pass,17.630,79.541,3.332,0.195774,Pass
0.90,15.537,77.709,6.195,0.188050,Pass,17.402,76.784,2.629,0.188133,Pass
0.91,15.343,75.748,5.526,0.182407,Pass,17.203,74.344,1.926,0.181446,Pass
0.93,15.189,74.194,4.890,0.177943,Pass,17.044,72.355,1.088,0.176037,Pass
0.94,15.084,73.156,4.327,0.174942,Pass,16.935,70.959,0.505,0.172293,Pass
0.95,15.036,72.704,3.873,0.173588,Pass,16.883,70.254,-0.087,0.170422,Pass
0.96,15.053,72.915,3.543,0.174070,Pass,16.894,70.335,-0.417,0.170651,Pass
0.98,15.133,73.773,3.352,0.176350,Pass,16.968,71.196,-0.625,0.172955,Pass
0.99,15.276,75.276,3.306,0.180426,Pass,17.104,72.832,-0.656,0.177328,Pass
1.00,15.476,77.375,3.392,0.186188,Pass,17.298,75.185,-0.518,0.183645,Pass
1.01,15.728,80.020,3.584,0.193516,Pass,17.544,78.164,-0.294,0.191707,Pass
1.02,16.022,83.133,3.859,0.202218,Pass,17.831,81.645,0.151,0.201220,Pass
1.04,16.345,86.553,4.176,0.211873,Pass,18.147,85.464,0.516,0.211778,Pass
1.05,16.685,90.178,4.499,0.222193,Pass,18.481,89.459,0.894,0.222946,Pass
1.06,17.025,93.900,4.795,0.232865,Pass,18.815,93.420,1.381,0.234158,Pass
1.08,17.347,97.480,5.021,0.243195,Pass,19.133,97.130,1.661,0.244755,Pass
1.09,17.637,100.715,5.157,0.252576,Pass,19.419,100.413,1.850,0.254215,Pass
1.10,17.883,103.473,5.180,0.260595,Pass,19.663,103.128,1.928,0.262091,Pass
1.11,18.074,105.635,5.072,0.266866,Pass,19.853,105.150,1.871,0.267990,Pass
1.13,18.201,107.096,4.841,0.271064,Pass,19.981,106.381,1.688,0.271598,Pass
1.14,18.262,107.832,4.499,0.273112,Pass,20.044,106.810,1.385,0.272868,Pass
1.15,18.254,107.810,4.059,0.272913,Pass,20.040,106.425,0.977,0.271764,Pass
1.16,18.178,107.023,3.553,0.270462,Pass,19.969,105.247,0.367,0.268356,Pass
1.17,18.040,105.534,3.013,0.265974,Pass,19.835,103.369,-0.238,0.262948,Pass
1.19,17.844,103.399,2.482,0.259635,Pass,19.646,100.878,-0.915,0.255811,Pass
1.20,17.597,100.671,2.005,0.251635,Pass,19.405,97.858,-1.517,0.247214,Pass
1.21,17.313,97.518,1.620,0.242486,Pass,19.128,94.502,-1.944,0.237702,Pass
1.23,17.000,94.006,1.363,0.232404,Pass,18.822,90.897,-2.255,0.227543,Pass
1.24,16.670,90.279,1.251,0.221814,Pass,18.498,87.198,-2.434,0.217179,Pass
1.25,16.336,86.582,1.285,0.211406,Pass,18.171,83.557,-2.474,0.207036,Pass
1.26,16.007,83.003,1.467,0.201427,Pass,17.848,80.066,-2.372,0.197360,Pass
1.27,15.696,79.600,1.784,0.192049,Pass,17.544,76.855,-2.138,0.188510,Pass
1.29,15.413,76.519,2.205,0.183655,Pass,17.267,74.017,-1.676,0.180710,Pass
1.30,15.163,73.788,2.700,0.176311,Pass,17.023,71.580,-1.255,0.174064,Pass
1.31,14.954,71.497,3.232,0.170236,Pass,16.822,69.623,-0.787,0.168752,Pass
1.33,14.789,69.660,3.758,0.165439,Pass,16.664,68.130,-0.291,0.164718,Pass
1.34,14.669,68.303,4.241,0.161957,Pass,16.552,67.095,0.279,0.161942,Pass
1.35,14.596,67.449,4.643,0.159815,Pass,16.488,66.510,0.661,0.160388,Pass
1.36,14.565,67.058,4.937,0.158882,Pass,16.467,66.312,0.954,0.159876,Pass
1.38,14.576,67.112,5.103,0.159089,Pass,16.489,66.464,1.141,0.160304,Pass
1.39,14.617,67.512,5.133,0.160169,Pass,16.543,66.858,1.209,0.161385,Pass
1.40,14.687,68.225,5.021,0.162034,Pass,16.626,67.459,1.152,0.163026,Pass
1.41,14.772,69.118,4.782,0.164342,Pass,16.725,68.142,0.983,0.164896,Pass
1.42,14.870,70.161,4.435,0.167030,Pass,16.839,68.893,0.715,0.166966,Pass
1.44,14.966,71.188,4.012,0.169668,Pass,16.950,69.568,0.377,0.168846,Pass
1.45,15.057,72.169,3.554,0.172195,Pass,17.057,70.164,0.005,0.170535,Pass
1.46,15.130,72.948,3.097,0.174198,Pass,17.145,70.556,-0.533,0.171692,Pass
1.48,15.180,73.495,2.678,0.175597,Pass,17.211,70.741,-0.881,0.172300,Pass
1.49,15.201,73.707,2.335,0.176115,Pass,17.245,70.647,-1.166,0.172150,Pass
1.50,15.187,73.549,2.101,0.175653,Pass,17.245,70.258,-1.357,0.171196,Pass
1.51,15.134,72.961,2.000,0.174052,Pass,17.205,69.534,-1.434,0.169321,Pass
1.52,15.039,71.908,2.030,0.171218,Pass,17.122,68.446,-1.398,0.166454,Pass
1.54,14.903,70.409,2.196,0.167219,Pass,16.998,67.015,-1.246,0.162661,Pass
1.55,14.726,68.459,2.489,0.162059,Pass,16.831,65.228,-0.986,0.157925,Pass
1.56,14.510,66.082,2.890,0.155831,Pass,16.625,63.093,-0.634,0.152294,Pass
1.58,14.259,63.321,3.365,0.148672,Pass,16.383,60.629,-0.208,0.145851,Pass
1.59,13.979,60.252,3.882,0.140814,Pass,16.113,57.888,0.367,0.138763,Pass
1.60,13.674,56.922,4.398,0.132392,Pass,15.818,54.884,0.799,0.131099,Pass
1.61,13.353,53.410,4.875,0.123631,Pass,15.507,51.671,1.189,0.123020,Pass
1.63,13.023,49.825,5.274,0.114806,Pass,15.188,48.331,1.503,0.114751,Pass
1.64,12.693,46.245,5.568,0.106106,Pass,14.870,44.917,1.723,0.106443,Pass
1.65,12.369,42.750,5.734,0.097715,Pass,14.559,41.494,1.825,0.098260,Pass
1.66,12.064,39.461,5.756,0.089911,Pass,14.268,38.177,1.797,0.090482,Pass
1.67,11.781,36.425,5.625,0.082778,Pass,14.000,35.013,1.630,0.083208,Pass
1.69,11.529,33.729,5.353,0.076496,Pass,13.764,32.096,1.339,0.076644,Pass
1.70,11.315,31.448,4.961,0.071218,Pass,13.567,29.520,0.944,0.070979,Pass
1.71,11.141,29.609,4.475,0.066978,Pass,13.412,27.330,0.471,0.066280,Pass
1.73,11.013,28.250,3.927,0.063839,Pass,13.301,25.606,-0.173,0.062676,Pass
1.74,10.932,27.396,3.359,0.061842,Pass,13.238,24.391,-0.700,0.060221,Pass
1.75,10.895,27.011,2.808,0.060894,Pass,13.219,23.672,-1.228,0.058844,Pass
1.76,10.902,27.080,2.300,0.060958,Pass,13.243,23.461,-1.672,0.058536,Pass
1.77,10.946,27.536,1.875,0.061890,Pass,13.304,23.714,-2.036,0.059185,Pass
1.79,11.025,28.337,1.564,0.063605,Pass,13.397,24.403,-2.285,0.060727,Pass
1.80,11.128,29.388,1.374,0.065901,Pass,13.514,25.443,-2.414,0.062989,Pass
1.81,11.248,30.600,1.313,0.068591,Pass,13.647,26.745,-2.419,0.065797,Pass
1.83,11.372,31.850,1.370,0.071400,Pass,13.783,28.178,-2.312,0.068885,Pass
1.84,11.497,33.091,1.553,0.074231,Pass,13.917,29.687,-2.087,0.072146,Pass
1.85,11.608,34.181,1.821,0.076755,Pass,14.038,31.112,-1.786,0.075238,Pass
1.86,11.698,35.041,2.184,0.078788,Pass,14.137,32.338,-1.399,0.077906,Pass
1.88,11.757,35.570,2.532,0.080074,Pass,14.204,33.236,-1.038,0.079865,Pass
1.89,11.778,35.708,2.885,0.080473,Pass,14.233,33.718,-0.686,0.080902,Pass
1.90,11.761,35.442,3.117,0.079921,Pass,14.224,33.744,-0.449,0.080929,Pass
1.91,11.695,34.678,3.354,0.078231,Pass,14.166,33.191,-0.223,0.079661,Pass
1.92,11.583,33.443,3.504,0.075460,Pass,14.063,32.072,0.038,0.077144,Pass
1.94,11.430,31.781,3.552,0.071726,Pass,13.919,30.423,0.065,0.073489,Pass
1.95,11.236,29.704,3.495,0.067092,Pass,13.735,28.253,-0.143,0.068761,Pass
1.96,11.009,27.292,3.339,0.061781,Pass,13.518,25.653,-0.325,0.063214,Pass
1.98,10.753,24.592,3.070,0.055939,Pass,13.273,22.704,-0.617,0.057088,Pass
1.99,10.479,21.699,2.728,0.049832,Pass,13.010,19.502,-1.011,0.050659,Pass
2.00,10.192,18.683,2.348,0.043663,Pass,12.734,16.142,-1.423,0.044186,Pass
2.01,9.903,15.652,1.964,0.037696,Pass,12.456,12.759,-1.840,0.037990,Pass
2.03,9.626,12.735,1.617,0.032208,Pass,12.189,9.509,-2.218,0.032399,Pass
2.04,9.368,10.024,1.330,0.027366,Pass,11.941,6.509,-2.536,0.027621,Pass
2.05,9.140,7.620,1.137,0.023324,Pass,11.722,3.884,-2.758,0.023834,Pass
2.06,8.950,3.096,1.027,0.017048,Pass,11.540,1.279,-2.894,0.020717,Pass
2.08,8.806,1.513,0.995,0.015101,Pass,11.404,-0.302,-2.947,0.019547,Pass
2.09,8.710,0.432,1.056,0.014019,Pass,11.313,-1.294,-2.904,0.019348,Pass
2.10,8.669,-0.066,1.223,0.013720,Pass,11.276,-1.626,-2.746,0.019241,Pass
2.11,8.680,-0.002,1.472,0.013764,Pass,11.291,-1.329,-2.499,0.019229,Pass
2.13,8.739,0.573,1.818,0.014247,Pass,11.352,-0.476,-2.148,0.019304,Pass
2.14,8.843,1.643,2.209,0.015427,Pass,11.459,0.895,-1.743,0.020043,Pass
2.15,8.985,3.118,2.583,0.017327,Pass,11.602,3.111,-1.347,0.022494,Pass
2.16,9.158,7.415,2.957,0.023312,Pass,11.775,5.198,-0.941,0.025351,Pass
2.17,9.356,9.461,3.270,0.026778,Pass,11.975,7.519,-0.548,0.028890,Pass
2.19,9.569,11.679,3.488,0.030704,Pass,12.188,9.952,-0.300,0.032907,Pass
2.20,9.787,13.951,3.586,0.034875,Pass,12.407,12.358,-0.147,0.037128,Pass
2.21,9.997,16.163,3.541,0.039051,Pass,12.618,14.616,-0.133,0.041281,Pass
2.22,10.190,18.210,3.401,0.043010,Pass,12.812,16.615,-0.212,0.045099,Pass
2.24,10.360,20.024,3.156,0.046579,Pass,12.983,18.291,-0.384,0.048402,Pass
2.25,10.500,21.544,2.828,0.049604,Pass,13.125,19.594,-0.677,0.051045,Pass
2.26,10.605,22.692,2.431,0.051897,Pass,13.230,20.463,-1.021,0.052865,Pass
2.28,10.671,23.438,1.995,0.053380,Pass,13.297,20.891,-1.412,0.053822,Pass
2.29,10.697,23.768,1.550,0.054010,Pass,13.324,20.889,-1.822,0.053918,Pass
2.30,10.683,23.670,1.130,0.053757,Pass,13.310,20.470,-2.222,0.053174,Pass
2.31,10.632,23.179,0.756,0.052698,Pass,13.259,19.694,-2.589,0.051713,Pass
2.33,10.550,22.341,0.379,0.050935,Pass,13.175,18.630,-2.921,0.049684,Pass
2.34,10.437,21.172,0.183,0.048520,Pass,13.059,17.305,-3.141,0.047146,Pass
2.35,10.299,19.724,0.128,0.045580,Pass,12.918,15.785,-3.235,0.044237,Pass
2.36,10.145,18.097,0.198,0.042336,Pass,12.759,14.172,-3.217,0.041178,Pass
2.38,9.983,16.371,0.381,0.038974,Pass,12.591,12.546,-3.095,0.038134,Pass
2.39,9.818,14.618,0.721,0.035651,Pass,12.421,10.964,-2.869,0.035223,Pass
2.40,9.661,12.919,1.117,0.032531,Pass,12.256,9.495,-2.545,0.032570,Pass
2.41,9.519,11.393,1.529,0.029824,Pass,12.108,8.238,-2.203,0.030350,Pass
2.42,9.399,10.081,1.971,0.027583,Pass,11.979,7.210,-1.828,0.028566,Pass
2.44,9.304,9.048,2.410,0.025890,Pass,11.877,6.452,-1.448,0.027264,Pass
2.45,9.240,8.345,2.814,0.024791,Pass,11.805,5.991,-1.094,0.026463,Pass
2.46,9.210,8.017,3.155,0.024321,Pass,11.767,5.853,-0.747,0.026180,Pass
2.47,9.217,8.091,3.430,0.024504,Pass,11.767,6.049,-0.509,0.026430,Pass
2.49,9.262,8.581,3.592,0.025349,Pass,11.805,6.582,-0.352,0.027226,Pass
2.50,9.346,9.490,3.652,0.026889,Pass,11.882,7.451,-0.280,0.028594,Pass
2.51,9.465,10.793,3.615,0.029125,Pass,11.995,8.637,-0.291,0.030537,Pass
2.53,9.618,12.470,3.494,0.032078,Pass,12.142,10.127,-0.371,0.033079,Pass
2.54,9.802,14.483,3.306,0.035736,Pass,12.320,11.899,-0.506,0.036221,Pass
2.55,10.013,16.787,3.069,0.040071,Pass,12.524,13.930,-0.674,0.039957,Pass
2.56,10.245,19.317,2.829,0.044999,Pass,12.749,16.175,-0.883,0.044234,Pass
2.58,10.492,22.004,2.607,0.050408,Pass,12.989,18.589,-1.035,0.048976,Pass
2.59,10.748,24.784,2.429,0.056183,Pass,13.236,21.132,-1.143,0.054116,Pass
2.60,11.006,27.579,2.320,0.062153,Pass,13.484,23.745,-1.186,0.059525,Pass
2.61,11.259,30.313,2.304,0.068146,Pass,13.727,26.367,-1.145,0.065073,Pass
2.63,11.501,32.918,2.390,0.073989,Pass,13.957,28.940,-1.012,0.070618,Pass
2.64,11.726,35.332,2.585,0.079521,Pass,14.170,31.417,-0.784,0.076043,Pass
2.65,11.928,37.491,2.898,0.084569,Pass,14.358,33.727,-0.452,0.081168,Pass
2.66,12.103,39.355,3.288,0.089013,Pass,14.518,35.812,0.076,0.085851,Pass
2.67,12.248,40.890,3.749,0.092752,Pass,14.647,37.624,0.525,0.089967,Pass
2.69,12.361,42.088,4.251,0.095741,Pass,14.744,39.134,1.003,0.093427,Pass
2.70,12.441,42.924,4.770,0.097902,Pass,14.807,40.293,1.486,0.096104,Pass
2.71,12.489,43.432,5.269,0.099290,Pass,14.839,41.112,1.942,0.098004,Pass
2.72,12.506,43.616,5.726,0.099900,Pass,14.840,41.573,2.605,0.099113,Pass
2.74,12.499,43.551,6.101,0.099890,Pass,14.817,41.732,2.923,0.099473,Pass
2.75,12.469,43.247,6.377,0.099270,Pass,14.771,41.582,3.144,0.099097,Pass
2.76,12.423,42.792,6.544,0.098242,Pass,14.710,41.201,3.258,0.098164,Pass
2.78,12.369,42.264,6.589,0.096987,Pass,14.642,40.663,3.254,0.096853,Pass
2.79,12.313,41.723,6.516,0.095653,Pass,14.572,40.035,3.140,0.095322,Pass
2.80,12.263,41.265,6.332,0.094470,Pass,14.510,39.419,2.923,0.093819,Pass
2.81,12.227,40.954,6.051,0.093604,Pass,14.461,38.897,2.616,0.092539,Pass
2.83,12.213,40.882,5.699,0.093280,Pass,14.435,38.580,1.994,0.091707,Pass
2.84,12.227,41.106,5.298,0.093653,Pass,14.436,38.548,1.584,0.091593,Pass
2.85,12.272,41.663,4.884,0.094824,Pass,14.470,38.861,1.167,0.092295,Pass
2.86,12.356,42.625,4.480,0.096987,Pass,14.541,39.616,0.769,0.094044,Pass
2.88,12.481,44.009,4.115,0.100203,Pass,14.652,40.850,0.415,0.096934,Pass
2.89,12.644,45.796,3.806,0.104448,Pass,14.802,42.558,-0.008,0.100974,Pass
2.90,12.848,47.995,3.572,0.109773,Pass,14.991,44.762,-0.221,0.106243,Pass
2.91,13.089,50.581,3.420,0.116141,Pass,15.217,47.439,-0.350,0.112715,Pass
2.92,13.362,53.495,3.349,0.123433,Pass,15.474,50.529,-0.391,0.120279,Pass
2.94,13.663,56.688,3.356,0.131547,Pass,15.758,53.973,-0.354,0.128828,Pass
2.95,13.985,60.091,3.421,0.140323,Pass,16.062,57.688,-0.255,0.138185,Pass
2.96,14.317,63.601,3.532,0.149505,Pass,16.377,61.551,0.019,0.148058,Pass
2.97,14.654,67.163,3.661,0.158943,Pass,16.696,65.483,0.181,0.158256,Pass
2.99,14.985,70.662,3.787,0.168323,Pass,17.010,69.347,0.338,0.168414,Pass
3.00,15.305,74.038,3.883,0.177468,Pass,17.312,73.061,0.465,0.178298,Pass
3.01,15.603,77.195,3.926,0.186089,Pass,17.593,76.504,0.537,0.187568,Pass
3.03,15.874,80.111,3.902,0.194097,Pass,17.848,79.602,0.539,0.195988,Pass
3.04,16.113,82.706,3.796,0.201254,Pass,18.071,82.295,0.458,0.203369,Pass
3.05,16.313,84.893,3.607,0.207295,Pass,18.257,84.501,0.290,0.209462,Pass
3.06,16.476,86.690,3.332,0.212259,Pass,18.407,86.244,0.031,0.214302,Pass
3.08,16.597,88.055,2.982,0.216016,Pass,18.516,87.484,-0.489,0.217779,Pass
3.09,16.681,89.028,2.575,0.218674,Pass,18.589,88.273,-0.890,0.220013,Pass
3.10,16.731,89.655,2.128,0.220363,Pass,18.628,88.662,-1.336,0.221147,Pass
3.11,16.748,89.916,1.668,0.221029,Pass,18.635,88.674,-1.904,0.221253,Pass
3.13,16.739,89.900,1.166,0.220925,Pass,18.618,88.419,-2.361,0.220612,Pass
3.14,16.713,89.671,0.757,0.220240,Pass,18.582,87.988,-2.786,0.219479,Pass
3.15,16.671,89.259,0.408,0.219055,Pass,18.531,87.429,-3.157,0.217983,Pass
3.16,16.625,88.790,0.139,0.217721,Pass,18.477,86.875,-3.453,0.216490,Pass
3.17,16.578,88.293,-0.148,0.216318,Pass,18.421,86.363,-3.661,0.215087,Pass
3.19,16.536,87.847,-0.315,0.215062,Pass,18.372,85.973,-3.775,0.213999,Pass
3.20,16.507,87.536,-0.297,0.214187,Pass,18.334,85.782,-3.795,0.213434,Pass
3.21,16.493,87.369,-0.106,0.213717,Pass,18.313,85.801,-3.727,0.213426,Pass
3.22,16.499,87.415,0.166,0.213849,Pass,18.312,86.086,-3.589,0.214137,Pass
3.24,16.525,87.664,0.384,0.214560,Pass,18.331,86.611,-3.397,0.215508,Pass
3.25,16.572,88.135,0.630,0.215900,Pass,18.372,87.374,-3.172,0.217543,Pass
3.26,16.641,88.852,0.868,0.217940,Pass,18.436,88.369,-2.945,0.220240,Pass
3.28,16.728,89.773,1.080,0.220559,Pass,18.519,89.529,-2.737,0.223425,Pass
3.29,16.833,90.907,1.240,0.223785,Pass,18.622,90.851,-2.570,0.227098,Pass
3.30,16.950,92.180,1.384,0.227412,Pass,18.737,92.245,-2.463,0.231008,Pass
3.31,17.075,93.581,1.393,0.231400,Pass,18.862,93.670,-2.429,0.235045,Pass
3.33,17.204,95.037,1.314,0.235544,Pass,18.992,95.066,-2.474,0.239041,Pass
3.34,17.332,96.491,1.092,0.239689,Pass,19.122,96.385,-2.601,0.242854,Pass
3.35,17.453,97.883,0.847,0.243664,Pass,19.246,97.571,-2.799,0.246325,Pass
3.36,17.562,99.153,0.542,0.247304,Pass,19.360,98.584,-3.055,0.249329,Pass
3.38,17.656,100.252,0.201,0.250464,Pass,19.459,99.392,-3.347,0.251769,Pass
3.39,17.730,101.127,-0.306,0.252991,Pass,19.539,99.966,-3.658,0.253547,Pass
3.40,17.780,101.733,-0.652,0.254750,Pass,19.595,100.282,-3.959,0.254590,Pass
3.41,17.803,102.027,-0.961,0.255616,Pass,19.626,100.325,-4.228,0.254834,Pass
3.42,17.798,101.991,-1.208,0.255526,Pass,19.628,100.094,-4.447,0.254272,Pass
3.44,17.762,101.590,-1.372,0.254376,Pass,19.599,99.571,-4.593,0.252843,Pass
3.45,17.696,100.841,-1.443,0.252213,Pass,19.541,98.787,-4.658,0.250624,Pass
3.46,17.599,99.719,-1.408,0.248968,Pass,19.451,97.720,-4.630,0.247559,Pass
3.47,17.475,98.275,-1.277,0.244800,Pass,19.334,96.420,-4.519,0.243799,Pass
3.49,17.323,96.504,-1.048,0.239703,Pass,19.190,94.876,-4.321,0.239317,Pass
3.50,17.148,94.455,-0.742,0.233836,Pass,19.023,93.123,-4.055,0.234232,Pass
3.51,16.952,92.158,-0.377,0.227298,Pass,18.835,91.171,-3.738,0.228594,Pass
3.53,16.739,89.674,0.202,0.220278,Pass,18.630,89.044,-3.390,0.222485,Pass
3.54,16.516,87.170,0.614,0.213243,Pass,18.416,86.808,-3.032,0.216107,Pass
3.55,16.282,84.586,1.015,0.206037,Pass,18.193,84.444,-2.687,0.209428,Pass
3.56,16.046,81.974,1.374,0.198807,Pass,17.968,82.013,-2.378,0.202621,Pass
3.58,15.812,79.391,1.721,0.191714,Pass,17.746,79.554,-2.116,0.195809,Pass
3.59,15.581,76.867,1.960,0.184824,Pass,17.528,77.071,-1.806,0.188986,Pass
3.60,15.362,74.501,2.115,0.178398,Pass,17.322,74.652,-1.674,0.182423,Pass
3.61,15.155,72.275,2.195,0.172384,Pass,17.130,72.303,-1.608,0.176118,Pass
3.63,14.962,70.213,2.206,0.166839,Pass,16.954,70.055,-1.599,0.170147,Pass
3.64,14.791,68.380,2.158,0.161932,Pass,16.799,67.986,-1.641,0.164709,Pass
3.65,14.638,66.745,2.065,0.157574,Pass,16.663,66.080,-1.718,0.159752,Pass
