*Stress RAOs
Unit : MPa

,TB_Fx, , , , ,,TB_Fy, , , , ,,TB_Fz, , , , ,,TB_Mx, , , , ,,TB_My, , , , ,,TB_Mz, , , , ,
Ele_ID,S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),
72879,-2.2156E-06,-2.9314E-06,1.2997E-08,-2.4012E-06,-3.66E-06,-5.7548E-09,-8.6887E-09,-1.2811E-08,1.3152E-09,-9.0586E-09,-1.52E-08,1.286E-09,-1.1551E-06,-1.4589E-06,-5.973E-08,-1.2706E-06,-1.8637E-06,-7.1886E-08,-5.2336E-15,-8.881E-15,-2.5133E-15,-6.4886E-15,-1.1654E-14,-2.6274E-15,-7.0573E-11,-9.4415E-11,1.4169E-12,-7.6202E-11,-1.1724E-10,8.5548E-13,1.1626E-14,-1.382E-14,-8.8965E-15,1.1782E-14,-1.3643E-14,-9.1286E-15
72884,-4.1612E-07,-2.2158E-06,2.3615E-07,-1.7165E-07,-2.1318E-06,2.0311E-07,-1.5763E-09,-9.9966E-09,1.6151E-09,-8.5973E-10,-9.7671E-09,1.4166E-09,-2.2067E-07,-1.0882E-06,9.1954E-08,-7.9605E-08,-1.0388E-06,7.8238E-08,-8.7636E-16,-3.6647E-15,-5.5611E-15,-4.9282E-16,-3.5238E-15,-5.3906E-15,-1.3198E-11,-7.1586E-11,7.9918E-12,-5.6161E-12,-6.8994E-11,6.8865E-12,-1.1966E-15,-4.521E-15,-1.0866E-14,-1.2639E-15,-4.5453E-15,-1.0408E-14
72885,-9.4579E-07,-2.3238E-06,8.3902E-08,-2.8341E-07,-1.9617E-06,9.0138E-08,-3.3577E-09,-1.0697E-08,1.0468E-09,-9.5984E-10,-9.3726E-09,1.0069E-09,-5.1492E-07,-1.1299E-06,9.8714E-09,-1.5625E-07,-9.3468E-07,1.653E-08,-4.843E-16,-3.701E-15,-4.9792E-15,-7.9918E-16,-3.7349E-15,-4.8354E-15,-2.9797E-11,-7.5244E-11,3.1832E-12,-8.8996E-12,-6.3807E-11,3.3304E-12,5.0343E-16,-5.7387E-15,-1.0384E-14,-6.0594E-16,-6.4164E-15,-1.0103E-14
72886,-1.7136E-06,-2.5802E-06,2.9201E-08,-1.2802E-06,-2.4052E-06,8.7321E-08,-6.2226E-09,-1.1777E-08,9.5528E-10,-4.7279E-09,-1.1097E-08,1.1557E-09,-9.2338E-07,-1.2598E-06,-2.698E-08,-6.8488E-07,-1.1675E-06,4.8828E-09,-2.3086E-15,-4.3691E-15,-3.7707E-15,-2.5319E-15,-4.708E-15,-3.6463E-15,-5.4129E-11,-8.347E-11,1.5663E-12,-4.0515E-11,-7.7912E-11,3.394E-12,3.2495E-15,-6.82E-15,-1.0692E-14,1.4391E-15,-7.9656E-15,-1.0638E-14
72887,-2.2909E-06,-3.1147E-06,3.098E-08,-2.4936E-06,-3.8207E-06,6.1249E-08,-8.5251E-09,-1.3873E-08,9.2287E-10,-9.291E-09,-1.6322E-08,1.1234E-09,-1.221E-06,-1.54E-06,-2.7107E-08,-1.3298E-06,-1.9266E-06,-1.5318E-08,-3.9871E-15,-4.8247E-15,-1.2911E-15,-3.7206E-15,-6.187E-15,-1.6346E-15,-7.2567E-11,-1.0047E-10,1.639E-12,-7.898E-11,-1.2268E-10,2.6633E-12,1.0545E-14,-8.2526E-15,-1.3479E-14,8.0126E-15,-8.874E-15,-1.3617E-14
72936,-2.1436E-06,-3.3983E-06,1.2413E-08,-2.4082E-06,-4.2006E-06,1.3063E-08,-7.7075E-09,-1.5555E-08,7.705E-10,-8.9919E-09,-1.8937E-08,7.2606E-10,-1.1612E-06,-1.6614E-06,-3.3705E-08,-1.286E-06,-2.0692E-06,-3.0507E-08,-1.1045E-15,-7.7089E-16,-6.0908E-16,-1.5256E-15,-1.188E-15,-9.1344E-16,-6.7619E-11,-1.099E-10,1.0008E-12,-7.6248E-11,-1.3562E-10,9.7836E-13,3.1827E-15,-2.3496E-15,-1.5964E-14,4.6537E-15,-1.8276E-15,-1.6249E-14
72937,-1.3405E-06,-2.9794E-06,-2.3121E-07,-1.5459E-06,-2.76E-06,-1.336E-07,-4.6995E-09,-1.4036E-08,-4.7528E-10,-5.5311E-09,-1.2776E-08,-6.0087E-11,-7.3336E-07,-1.4351E-06,-1.4165E-07,-8.4006E-07,-1.3416E-06,-9.222E-08,-4.5471E-16,-4.8836E-16,-3.6603E-15,-4.5401E-17,-5.7634E-16,-3.5935E-15,-4.218E-11,-9.6679E-11,-7.0466E-12,-4.8726E-11,-8.9378E-11,-3.9156E-12,9.3963E-16,-1.9399E-15,-1.1981E-14,1.2536E-15,-2.0619E-15,-1.1728E-14
72938,-4.2594E-07,-2.2048E-06,-1.8674E-07,-9.4524E-07,-2.595E-06,-2.0261E-07,-1.3098E-09,-1.0152E-08,-2.4844E-10,-3.6172E-09,-1.2251E-08,-3.7201E-10,-2.4256E-07,-1.0742E-06,-1.1933E-07,-5.0102E-07,-1.2484E-06,-1.2442E-07,-6.7891E-16,-8.3845E-16,-5.1474E-15,-3.5506E-17,-4.6435E-16,-5.0077E-15,-1.3258E-11,-7.1361E-11,-5.6169E-12,-2.9984E-11,-8.4227E-11,-6.1705E-12,-1.3331E-16,-1.4502E-15,-1.1106E-14,8.4471E-17,-1.4397E-15,-1.079E-14
72939,-3.8721E-07,-2.2174E-06,-1.5175E-08,-5.4275E-07,-2.0361E-06,-1.1752E-07,-1.5202E-09,-1.0582E-08,3.0792E-10,-1.9786E-09,-9.4075E-09,-1.009E-10,-2.0346E-07,-1.0604E-06,-2.2364E-08,-2.9314E-07,-9.9032E-07,-7.5696E-08,2.7858E-16,-4.2758E-16,-5.7431E-15,1.6299E-17,-6.406E-16,-5.66E-15,-1.231E-11,-7.2065E-11,-2.6553E-13,-1.7134E-11,-6.5924E-11,-3.526E-12,7.0428E-17,-9.7995E-16,-1.1884E-14,-5.408E-16,-1.2244E-15,-1.1381E-14
73838,-1.3476E-07,-2.007E-06,-3.5104E-07,-2.5278E-07,-1.9993E-06,-3.8333E-07,-6.4895E-10,-9.2537E-09,-2.0979E-09,-1.0079E-09,-9.2353E-09,-2.1703E-09,-6.43E-08,-9.8476E-07,-1.4021E-07,-1.3281E-07,-9.8029E-07,-1.6018E-07,2.5004E-16,7.6801E-15,-4.5337E-15,1.1995E-15,7.912E-15,-4.4455E-15,-4.3818E-12,-6.485E-11,-1.1827E-11,-8.0362E-12,-6.4614E-11,-1.2808E-11,1.0653E-15,8.8775E-15,-8.6755E-15,2.642E-15,9.4097E-15,-8.4787E-15
